Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,ESP32-S3-LCD-EV-BOARD_SUB_LCD_RGB,ESP32-S3-LCD-EV-BOARD_SUB_LCD_RGB,126.3396,-69.4944,0.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,141.2927,-80.1116,90.0,top
J3,Conn_02x20_Counter_Clockwise,Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal,150.2995,-93.7214,90.0,top
R21,10K,R_0402_1005Metric,144.7471,-86.4714,0.0,top
R23,10K,R_0402_1005Metric,144.7471,-102.4714,180.0,top
RA1,R(NC),R_0402_1005Metric,137.7855,-86.707135,180.0,top
RA2,0R(NC),R_0402_1005Metric,137.7855,-88.180335,180.0,top
RA3,0R(NC),R_0402_1005Metric,137.7855,-89.653535,180.0,top
RA4,0R(NC),R_0402_1005Metric,137.7855,-91.126735,180.0,top
RA5,0R(NC),R_0402_1005Metric,137.7855,-92.5576,0.0,bottom
RA6,0R(NC),R_0402_1005Metric,137.7835,-96.968735,180.0,top
RA7,0R(NC),R_0402_1005Metric,137.7835,-98.429235,180.0,top
RA8,0R(NC),R_0402_1005Metric,137.7835,-99.889735,180.0,top
RA9,0R(NC),R_0402_1005Metric,137.7835,-101.350235,180.0,top
RA10,0R(NC),R_0402_1005Metric,137.7835,-102.810735,180.0,top
RB1,0R,R_0402_1005Metric,137.7855,-85.233935,0.0,bottom
RB2,0R,R_0402_1005Metric,137.7855,-86.698668,0.0,bottom
RB3,0R,R_0402_1005Metric,137.7855,-88.163401,0.0,bottom
RB4,0R,R_0402_1005Metric,137.7855,-89.628134,0.0,bottom
RB5,0R,R_0402_1005Metric,137.7855,-91.092867,0.0,bottom
RB6,0R,R_0402_1005Metric,137.7855,-94.022333,0.0,bottom
RB7,0R,R_0402_1005Metric,137.7875,-95.487066,180.0,bottom
RB8,0R,R_0402_1005Metric,137.7855,-96.951799,0.0,bottom
RB9,0R,R_0402_1005Metric,137.7855,-98.416532,0.0,bottom
RB10,0R,R_0402_1005Metric,137.7855,-99.881265,0.0,bottom
RB11,0R,R_0402_1005Metric,137.7855,-101.345998,0.0,bottom
RB12,0R,R_0402_1005Metric,137.7855,-102.810735,0.0,bottom
